"actor_id","number_of_credits"
"nm1631269",73
"nm3538718",25
"nm3872230",21
"nm4973896",31
"nm0612534",46
"nm2699211",30
"nm3750475",30
"nm10764688",4
"nm11989496",1
"nm11989497",1
"nm5161300",14
"nm10123796",2
"nm3841091",13
"nm3822770",54
"nm1231899",81
"nm10487217",3
"nm5010331",21
"nm12155965",2
"nm11482113",3
"nm11163867",3
"nm8534494",5
"nm9556950",7
"nm12267961",1
"nm0542498",30
"nm1238337",34
"nm10397814",4
"nm12219156",3
"nm3607876",4
"nm9013145",10
"nm0760045",3
"nm0252230",59
"nm0004266",55
"nm12232681",1
"nm0384211",50
"nm4564885",18
"nm0749270",25
"nm4435667",27
"nm5601857",8
"nm4453960",10
"nm12232682",1
"nm1648520",25
"nm0309693",112
"nm0753982",56
"nm0001426",148
"nm0001774",54
"nm3175092",4
"nm5291697",10
"nm8582855",4
"nm1659547",37
"nm0000146",87
"nm4141252",33
"nm1926865",30
"nm12145721",1
"nm0916073",176
"nm10706149",2
"nm0928894",66
"nm5770115",23
"nm4661115",10
"nm0713961",43
"nm0567945",45
"nm0324241",90
"nm2398785",15
"nm8882474",21
"nm7662468",2
"nm0230826",68
"nm10499779",2
"nm1107001",75
"nm5072010",18
"nm0162281",66
"nm2387806",48
"nm0446672",64
"nm10557982",4
"nm6061593",10
"nm2694680",47
"nm2833223",14
"nm3415514",15
"nm11042899",5
"nm0867677",71
"nm4788175",21
"nm1566269",13
"nm7030458",25
"nm1350205",75
"nm9819519",9
"nm10141812",8
"nm0935395",66
"nm0000553",138
"nm1840708",24
"nm0704696",55
"nm10840908",8
"nm9141435",2
"nm8387008",4
"nm1266915",23
"nm0890684",80
"nm3128797",14
"nm0760923",26
"nm1790494",58
"nm0961185",98
"nm0366890",112
"nm3009806",2
"nm4398370",51
"nm1625411",21
"nm9388493",5
"nm5277107",18
"nm5483400",24
"nm0452748",63
"nm0327020",98
"nm0001372",7
"nm3896112",15
"nm2821733",29
"nm3967796",37
"nm1621032",39
"nm0543738",63
"nm8492218",8
"nm11204109",1
"nm5485805",16
"nm8574471",17
"nm10504250",2
"nm12235143",1
"nm12235144",1
"nm1775547",19
"nm1676649",26
"nm1165044",60
"nm3354041",43
"nm0744331",57
"nm6341784",28
"nm1040389",31
"nm0594895",67
"nm3934745",14
"nm0068599",152
"nm0912966",86
"nm1715118",53
"nm3199933",17
"nm0090981",74
"nm8609229",2
"nm2528977",33
"nm0122703",130
"nm1531996",44
"nm3276835",28
"nm6244013",17
"nm7887725",13
"nm0933988",92
"nm0002546",87
"nm9897417",3
"nm10369446",2
"nm6835502",5
"nm10397159",1
"nm4192921",7
"nm0276788",81
"nm5192883",16
"nm0849530",28
"nm8866555",5
"nm6524357",10
"nm9531112",4
"nm8747361",14
"nm0781981",43
"nm6038328",15
"nm8627157",16
"nm0000729",43
"nm0424848",37
"nm0566279",98
"nm0819007",21
"nm5715289",6
"nm0654167",6
"nm4320647",24
"nm8552914",23
"nm2900746",23
"nm9174196",5
"nm1501738",64
"nm1319232",20
"nm2715450",36
"nm1671257",39
"nm6718679",13
"nm0001015",65
"nm0929489",131
"nm0004692",68
"nm0810890",20
"nm0401269",44
"nm0053448",90
"nm0817563",62
"nm0789093",71
"nm0941056",36
"nm0177678",92
"nm0125348",51
"nm0384169",141
"nm0427646",46
"nm0515218",36
"nm0223567",19
"nm0493506",28
"nm0841491",26
"nm0485316",3
"nm2197298",47
"nm0000598",106
"nm0001218",117
"nm0333982",122
"nm0541908",153
"nm0934008",86
"nm0173997",91
"nm3947216",39
"nm0230058",36
"nm7722049",73
"nm1355563",48
"nm9424115",10
"nm7610067",8
"nm1568493",27
"nm5366159",24
"nm6564804",51
"nm9700991",18
"nm4866648",45
"nm5256984",22
"nm4817510",11
"nm0756083",125
"nm2730808",22
"nm4776690",15
"nm1724742",27
"nm0000546",115
"nm4555210",7
"nm5615286",12
"nm0212498",149
"nm9516723",2
"nm6559173",16
"nm4556061",48
"nm1019450",12
"nm0353527",12
"nm0535541",27
"nm0578777",4
"nm1435830",65
"nm0915208",91
"nm10881822",1
"nm0511088",46
"nm12270579",1
"nm10881823",1
"nm10881824",2
"nm0915865",92
"nm12270580",1
"nm12270581",1
"nm12270582",1
"nm12270583",1
"nm12270584",1
"nm12270585",1
"nm12270586",1
"nm12270587",1
"nm12270588",1
"nm12270589",1
"nm0378164",38
"nm0000243",60
"nm1785339",38
"nm0001467",44
"nm0061777",91
"nm0404924",76
"nm0455767",73
"nm2295540",54
"nm9140881",11
"nm0419005",94
"nm0607703",232
"nm1100839",33
"nm0725284",29
"nm2279247",15
"nm0462735",92
"nm0779399",76
"nm2464250",36
"nm5053931",15
"nm6565850",8
"nm8451917",3
"nm6269125",21
"nm7341118",5
"nm6236783",13
"nm0005026",134
"nm0725079",163
"nm8442868",4
"nm0702841",14
"nm1476601",109
"nm0663177",179
"nm5234817",16
"nm2435995",22
"nm3090514",30
"nm10421806",8
"nm12360688",1
"nm12360689",1
"nm5619620",1
"nm3100183",68
"nm0000531",68
"nm0000657",138
"nm9584508",1
"nm11894469",1
"nm11894470",1
"nm11894471",1
"nm11894472",1
"nm11894473",1
"nm11894474",1
"nm11894475",1
"nm11894476",1
"nm11894477",1
"nm11894478",1
"nm9984799",1
"nm11922485",1
"nm11894480",1
"nm10470534",1
"nm11894481",1
"nm0913475",15
"nm3918035",47
"nm0005493",85
"nm1017334",61
"nm5131141",28
"nm10994806",3
"nm0820053",93
"nm0629634",208
"nm12275504",1
"nm0263625",103
"nm0935921",68
"nm1570774",49
"nm1842786",61
"nm1694797",109
"nm2992448",26
"nm10130795",8
"nm2576700",45
"nm0001729",84
"nm4486605",55
"nm0205488",28
"nm0345695",58
"nm0000448",262
"nm0155389",113
"nm2193120",37
"nm9066500",14
