"","youtubeContent.items.id.channelId.1.","prod_name.prod_name.i.","viewCount","subscriberCount","hiddenSubscriberCount","videoCount"
"1","UC-ZrPpPr79psf_4Y6AbIxSA","Freestyle Releasing",42985049,8130,FALSE,25
"2","UC_976xMxPgzIa290Hqtk-9g"," Walt Disney Animation Studios ",3241117971,5240000,FALSE,478
"3","UC_go6P0dmSPFeL95NZVXNkw","Quiver Distribution",5055194,2080,FALSE,105
"4","UC_rO4C_n-VER2E9425WnAAQ"," Titmouse, Inc.",1164956,9250,FALSE,210
"5","UC1Myj674wRVXB9I4c6Hm5zA","Apple TV+",629337692,1030000,FALSE,536
"6","UC2OhPeOJFrgDivUkS8y_ngw"," Plan B Entertainment",128227,2300,FALSE,31
"7","UC3fm3F9kyexFVL_OPoSXkgQ","Good Deed Entertainment",2096902,1790,FALSE,61
"8","UC51KZjUZokzJfb08mzAGS2A"," Constantin Film",324993765,235000,FALSE,1014
"9","UC7QRIwDb8shSnZE8XB0lx4A","RLJE Films",93566291,55100,FALSE,912
"10","UC7RwLghHbL3qZfQZ9ptIQgg"," Atomic Monster Productions ",442237,4080,FALSE,20
"11","UC82a54ONoesmTcQInXvFl9A"," XYZ Films",34874,346,FALSE,35
"12","UC8jsAprgDehadRVbqKgO2PQ"," Twisted Pictures",3278255,10600,FALSE,84
"13","UC9S7BBUoWErI-50YI2ASoiw"," Voltage Pictures",103985413,123000,FALSE,220
"14","UCaCrNBTUDsY1bcgTANIKCMg","Relativity Media",66729549,61000,FALSE,186
"15","UCaqPIODQHO1PsNLrfi-ejEA"," Participant ",NA,NA,NA,NA
"16","UCAVadSTSh382kte-fQHqMNw"," Legendary Entertainment ",212693506,345000,FALSE,312
"17","UCAVbmcQRHMirMgdWWfDkFrg","Charybdis Pictures",1645,8,FALSE,2
"18","UCBdw4dLCLLHmTgAOnW4V0hQ"," Seven Bucks Productions ",324183231,5890000,FALSE,232
"19","UCbPUwMmAiA5lNMbxNpu2Umg"," TSG Entertainment",10423,1030,FALSE,7
"20","UCcCCIrXmIJOYamxWqeJzI2Q"," Shudder",257488927,329000,FALSE,586
"21","UCCEfOHkckMXnoZQAjUZsMig"," Blumhouse Productions",11915168,34400,FALSE,152
"22","UCCKPoUe4nvn6H-HaoY2UM0g"," StudioCanal ",211268249,90300,FALSE,696
"23","UCcwLgHQvgkUimERhaLOESQQ"," Atlas Entertainment ",65133,2100,FALSE,40
"24","UCE5mQnNl8Q4H2qcv4ikaXeA","Hulu",487122727,2000000,FALSE,1696
"25","UCF9imwPMSGz4Vq1NiTWCC7g"," Paramount Pictures",1637623924,2320000,FALSE,1391
"26","UCfnXpb2MPBULONuZCyaKgmA"," Briarcliff Entertainment",78327702,10200,FALSE,37
"27","UCG9F5sa7uMQaQy_i5wFttIQ","Dark Star Pictures",4403426,1040,FALSE,75
"28","UCgM1fYihH7d08NL02gmRo0w"," LD Entertainment",82247522,477000,FALSE,327
"29","UCGVrjz7s7ui-c4BHZ155Ylg"," Pathé Films",193191311,143000,FALSE,946
"30","UChHWguT73YHTBfptyj41a1Q"," Skydance Media",35725542,37700,FALSE,306
"31","UCieuazCd9PNnMK3hxg3U3Kg"," Bron Creative ",227037,402,FALSE,121
"32","UCIrgJInjLS2BhlHOMDW7v0g","Disney+ ",99221039,824000,FALSE,496
"33","UCJ6nMHaJPZvsJ-HmUmj1SeA","Lionsgate ",1783542272,1690000,FALSE,1737
"34","UCjmJDM5pRKbUlVIzDYYWb6g"," Warner Bros. Pictures",5987394354,10300000,FALSE,2536
"35","UCkaUErzjD9UUM8D-loIm5vA"," Saban Films",40039903,20700,FALSE,199
"36","UCKU6iJRsW9hrZkJhMh9ZgMw","Screen Media Films",19537195,30600,FALSE,215
"37","UCLF1VMXwqk47ND9-cIFf_Pw","Uncork'd Entertainment",74211,202,FALSE,15
"38","UCLFmfzQaJE_YlgXtnkr3e_Q","Greenwich Entertainment",6583117,8960,FALSE,79
"39","UClpp6NmLid7CvUkI-h17n5Q","Strand Releasing",23848348,47400,FALSE,323
