channel_id.channel_id.i.,viewCount,subscriberCount,hiddenSubscriberCount,videoCount
UCpR3kmSyTYszJHWEcmpcnFQ,61470948,52800,FALSE,332
UCWOA1ZGywLbqmigxE4Qlvuw,4974055173,22800000,FALSE,5190
UCx-KWLTKlB83hDI6UKECtJQ,504171132,1240000,FALSE,963
UCjmJDM5pRKbUlVIzDYYWb6g,5987394354,10300000,FALSE,2536
UCWOA1ZGywLbqmigxE4Qlvuw,4974055173,22800000,FALSE,5190
UCpR3kmSyTYszJHWEcmpcnFQ,61470948,52800,FALSE,332
UCWOA1ZGywLbqmigxE4Qlvuw,4974055173,22800000,FALSE,5190
UCx-KWLTKlB83hDI6UKECtJQ,504171132,1240000,FALSE,963
UCjmJDM5pRKbUlVIzDYYWb6g,5987394354,10300000,FALSE,2536
UCWOA1ZGywLbqmigxE4Qlvuw,4974055173,22800000,FALSE,5190
UClt5Bst8Ji05dZvTUdnO85g,247674082,93200,FALSE,428
UCE5mQnNl8Q4H2qcv4ikaXeA,487122727,2000000,FALSE,1696
UCJ6nMHaJPZvsJ-HmUmj1SeA,1783542272,1690000,FALSE,1737
UCkaUErzjD9UUM8D-loIm5vA,40039903,20700,FALSE,199
UCO7rKYuE7EMHYFcwP-obqhg,20575930,91500,FALSE,686
UCOn923UnbV8H9zo_lO6ZCRw,253281071,343000,FALSE,1006
UCJ6nMHaJPZvsJ-HmUmj1SeA,1783542272,1690000,FALSE,1737
UCkaUErzjD9UUM8D-loIm5vA,40039903,20700,FALSE,199
UC51KZjUZokzJfb08mzAGS2A,324993765,235000,FALSE,1014
UCSi5779nMiFTbLm3prHaa1g,236202284,176000,FALSE,2312
UCjmJDM5pRKbUlVIzDYYWb6g,5987394354,10300000,FALSE,2536
UCx-KWLTKlB83hDI6UKECtJQ,504171132,1240000,FALSE,963
UCor9rW6PgxSQ9vUPWQdnaYQ,868207329,448000,FALSE,1610
UCE5mQnNl8Q4H2qcv4ikaXeA,487122727,2000000,FALSE,1696
UC1Myj674wRVXB9I4c6Hm5zA,629337692,1030000,FALSE,536
UC_go6P0dmSPFeL95NZVXNkw,5055194,2080,FALSE,105
UCyouSlyNTfwX_pnGvlfIL3Q,187252692,98500,FALSE,412
UCOn923UnbV8H9zo_lO6ZCRw,253281071,343000,FALSE,1006
UCG9F5sa7uMQaQy_i5wFttIQ,4403426,1040,FALSE,75
UCpR3kmSyTYszJHWEcmpcnFQ,61470948,52800,FALSE,332
UCWOA1ZGywLbqmigxE4Qlvuw,4974055173,22800000,FALSE,5190
UCx-KWLTKlB83hDI6UKECtJQ,504171132,1240000,FALSE,963
UCjmJDM5pRKbUlVIzDYYWb6g,5987394354,10300000,FALSE,2536
UCWOA1ZGywLbqmigxE4Qlvuw,4974055173,22800000,FALSE,5190
UClt5Bst8Ji05dZvTUdnO85g,247674082,93200,FALSE,428
UCE5mQnNl8Q4H2qcv4ikaXeA,487122727,2000000,FALSE,1696
