"movie_ids","revenues","total_runtime_in_minutes","meta_crtics_counts","meta_scores","release_dates"
"tt9691136",39117,83,160,66,2021-01-01 01:00:00
"tt6571548",0,125,169,76,2021-01-22 01:00:00
"tt13061914",0,118,90,42,2021-01-14 01:00:00
"tt3661210",0,112,323,73,2021-01-29 01:00:00
"tt10451914",0,114,127,45,2021-01-15 01:00:00
"tt6902332",3104204,108,106,44,2021-01-15 01:00:00
"tt11268742",0,99,20,NA,2021-01-15 01:00:00
"tt10195452",46410,90,18,24,NA
"tt8046498",0,83,21,45,2021-01-15 01:00:00
"tt9608818",240160,124,86,57,2021-01-29 01:00:00
"tt0119164",176585,91,85,75,1997-09-19 02:00:00
"tt10661710",0,112,14,NA,2021-01-22 01:00:00
"tt9110170",107897,109,155,46,2021-02-26 01:00:00
"tt6317656",0,95,85,54,2021-01-27 01:00:00
"tt10016180",4705527,128,225,54,2021-01-29 01:00:00
"tt10332588",0,123,43,69,2021-01-29 01:00:00
"tt9770150",503000,107,382,93,NA
"tt12676326",0,106,213,53,2021-02-05 01:00:00
"tt6857376",0,110,90,53,2021-01-29 01:00:00
"tt9143112",0,112,96,63,NA
"tt10333426",0,103,103,40,2021-02-05 01:00:00
"tt9735470",21555,101,50,71,2021-02-05 01:00:00
"tt2235372",0,105,26,60,2021-02-05 01:00:00
"tt8110004",0,86,40,61,2021-02-09 01:00:00
"tt7541720",0,107,64,23,2021-02-12 01:00:00
"tt9784798",2027076,126,268,85,NA
"tt4761112",163789,129,169,53,2021-03-02 01:00:00
"tt7737640",0,96,32,24,2021-02-12 01:00:00
"tt3797512",0,107,108,64,2021-02-12 01:00:00
"tt10633456",193460,115,290,89,NA
"tt10676012",0,109,59,65,2021-02-12 01:00:00
"tt9738716",51245,105,89,73,2021-03-02 01:00:00
"tt10279362",0,113,86,56,NA
"tt10265034",899810,89,129,61,2021-02-12 01:00:00
"tt8114980",97164,88,164,44,2021-02-12 01:00:00
"tt11080108",0,98,80,61,2021-02-12 01:00:00
"tt10037014",0,109,52,NA,2021-02-12 01:00:00
"tt9893250",0,118,213,66,2021-02-19 01:00:00
"tt8521736",0,95,56,62,2021-02-19 01:00:00
"tt7937254",0,112,50,41,2021-02-19 01:00:00
"tt1361336",14112629,101,145,32,2021-02-26 01:00:00
"tt8521718",0,126,115,52,2021-02-26 01:00:00
"tt9130508",0,142,147,44,2021-03-12 01:00:00
"tt9731682",190649,118,67,41,NA
"tt11459366",0,140,52,70,2021-02-26 01:00:00
"tt10793644",23182,89,175,69,2021-02-26 01:00:00
"tt6432466",0,111,100,54,2021-03-03 01:00:00
"tt6802400",0,110,195,52,2021-03-05 01:00:00
"tt4823776",865824,91,65,65,2021-03-04 01:00:00
"tt5109280",8502498,107,259,75,NA
"tt2076822",3775350,109,163,38,2021-03-05 01:00:00
"tt7638348",0,100,138,56,2021-03-05 01:00:00
"tt10896398",1200165,90,41,54,2021-03-05 01:00:00
"tt8521876",0,86,73,46,2021-03-12 01:00:00
"tt11020728",245182,91,25,53,NA
