"movie_id","revenue","total_runtime_in_minute","meta_crtics_count","meta_score","release_date"
"tt1620981",30300007,86,178,46,NA
"tt1034415",184037,152,360,64,1541116800
"tt2866708",0,96,40,55,NA
"tt6566768",0,104,26,63,NA
"tt5164432",11756244,110,268,72,1521158400
"tt0835802",0,90,24,39,1523577600
"tt5001718",11727390,96,104,52,1495152000
"tt5164432",11756244,110,268,72,1521158400
"tt0835802",0,90,24,39,1523577600
"tt5001718",11727390,96,104,52,1495152000
"tt6525952",0,109,2,NA,NA
"tt2776878",3817700,109,84,68,1509062400
"tt5371832",0,98,8,NA,NA
"tt3383420",0,111,3,NA,NA
"tt2783308",0,91,1,NA,NA
"tt3833480",31042,123,88,71,1593734400
"tt8963340",0,NA,0,NA,1534464000
"tt1846589",6653777,121,127,43,1540512000
"tt4681454",0,100,12,NA,1536883200
"tt5539054",0,89,19,NA,1498176000
"tt8145202",0,103,6,NA,1593561600
"tt9286908",0,104,28,NA,1620950400
"tt4154796",357115007,181,583,78,1556236800
"tt5303442",6646,106,12,66,1577404800
"tt6679794",0,121,127,59,1541721600
"tt8705734",0,NA,0,NA,NA
"tt6736618",0,NA,0,NA,NA
"tt4839458",0,86,1,NA,NA
"tt6517884",0,NA,0,NA,NA
"tt5272564",0,NA,0,NA,NA
"tt8171236",0,91,6,NA,1621468800
"tt13230362",0,NA,0,NA,NA
"tt6902676",0,98,156,42,1582848000
"tt8069578",0,93,4,NA,NA
"tt5076518",0,94,1,NA,NA
"tt11127642",0,NA,0,NA,NA
"tt4121532",0,NA,0,NA,NA
"tt3549752",0,NA,0,NA,NA
"tt9580042",0,NA,0,NA,NA
"tt3402248",0,NA,0,NA,NA
"tt13537998",0,NA,0,NA,NA
"tt7623200",0,NA,0,NA,NA
"tt7341406",0,106,5,NA,NA
"tt5690142",0,146,27,NA,1499385600
"tt4874298",0,106,3,NA,NA
"tt8983164",0,136,16,NA,1605225600
"tt7212754",0,150,21,NA,1605139200
"tt4486148",0,129,7,NA,NA
"tt8983180",0,128,11,NA,1571961600
"tt11038896",0,NA,0,NA,NA
"tt10600398",0,100,56,51,1608854400
"tt14243078",0,NA,0,NA,1589932800
"tt11627166",0,NA,1,NA,NA
"tt13138624",0,NA,0,NA,NA
"tt8902990",334713,143,34,55,1570752000
"tt13629904",0,81,1,NA,NA
"tt11351822",0,101,1,NA,NA
"tt10964468",0,127,31,NA,NA
"tt6978954",0,154,5,NA,NA
"tt6791730",0,150,22,NA,1510876800
"tt10230436",0,117,22,NA,NA
"tt2395469",2045068,154,47,65,1550102400
"tt6133484",0,115,2,NA,NA
"tt6346954",0,125,2,NA,NA
"tt7556122",0,125,258,70,1594339200
"tt4777008",36948713,119,235,43,NA
"tt6105098",191770759,118,386,55,1563494400
"tt7533152",0,113,52,68,1551398400
"tt2296777",10604774,86,83,36,NA
"tt0805647",0,106,152,47,1603324800
"tt7456312",0,115,54,35,1582243200
"tt9071322",102606,126,225,73,NA
"tt1298644",13007709,93,147,35,1557446400
"tt6476140",4415403,106,173,37,1548374400
"tt13180026",0,64,12,NA,NA
"tt9792884",0,89,9,NA,1594771200
"tt6868216",0,88,11,NA,NA
"tt4573516",1701785,89,45,62,1493337600
"tt2822578",0,95,26,NA,NA
"tt6063050",17170707,NA,37,32,1522368000
"tt4725752",0,NA,0,NA,NA
"tt5734138",0,NA,1,NA,NA
"tt5998784",0,NA,4,NA,NA
"tt3149208",0,80,2,NA,NA
"tt8147254",0,NA,0,NA,NA
"tt2290534",0,82,8,NA,NA
"tt2878944",0,NA,0,NA,NA
"tt12745216",0,86,4,NA,NA
"tt4193072",13201,102,92,69,1588896000
"tt10093862",0,NA,3,NA,NA
"tt4602066",114771,94,51,49,1529625600
"tt6216296",0,NA,0,NA,NA
"tt9489598",8423,106,20,NA,1623974400
"tt7217578",0,NA,0,NA,NA
"tt10155932",0,113,104,41,1630627200
"tt12928224",0,NA,0,NA,NA
"tt7355694",0,NA,0,NA,NA
"tt8743180",0,NA,1,NA,NA
"tt1615160",13113024,113,173,55,1507852800
"tt2763304",170575,117,395,67,1490918400
"tt10272386",0,97,294,88,1614297600
"tt8425058",0,92,27,NA,1547856000
"tt12174952",0,NA,0,NA,NA
"tt9121906",0,NA,1,NA,NA
"tt8672520",0,210,1,NA,NA
"tt4106514",0,104,43,29,1584057600
"tt7791048",0,75,2,NA,NA
"tt4246894",0,123,18,NA,NA
"tt3459004",0,86,1,NA,NA
"tt1465485",0,92,4,NA,NA
