"movie_imdb_id","movie_names","production_company","id","id_str","name","screen_name","verified","hashtag_movie","movie_release_dates_list","toDate","fromDate"
"tt0293429","Mortal Kombat","Warner Bros. Pictures / New Line Cinema / Atomic Monster Productions / HBO Max",1070350917344600064,"1070350917344600066","Mortal Kombat Mobile","MKMobileGame",TRUE,"#MortalKombat",2021-04-23,"202104230000","202103240000"
"tt0499097","Without Remorse","Amazon Studios / Paramount Pictures / Skydance Media",1169330686433492992,"1169330686433492992","Without Remorse Movie","WithoutRemorse",TRUE,"#WithoutRemorse",2021-04-30,"202104300000","202103310000"
"tt0870154","Jungle Cruise","Walt Disney Pictures / Davis Entertainment / Seven Bucks Productions / Disney+",479820033,"479820033","Jungle Cruise","JungleCruise",TRUE,"#JungleCruise",2021-07-30,"202107300000","202106300000"
"tt0993840","Army of the Dead","Netflix / The Stone Quarry",NA,NA,NA,NA,NA,"#ArmyoftheDead",2021-05-21,"202105210000","202104210000"
"tt0995854","A Journal for Jordan","Columbia Pictures / Escape Artists / Bron Studios",1273735161939558400,"1273735161939558400","A Journal for Jordan","AJournal4Jordan",TRUE,"#AJournalforJordan",2021-12-25,"202112250000","202111250000"
"tt10011320","Changing the Game","Hulu",NA,NA,NA,NA,NA,"#ChangingtheGame",2021-06-01,"202106010000","202105020000"
"tt10016180","The Little Things","Warner Bros. Pictures / Gran Via Productions / HBO Max",968567047499038720,"968567047499038720","A Million Little Things","AMillionABC",TRUE,"#TheLittleThings",2021-01-29,"202101290000","202012300000"
"tt10023286","The Humans","A24 / Showtime / IAC Films",1424767927383822336,"1424767927383822339","The Humans","thehumansmovie",TRUE,"#TheHumans",2021-10-06,"202110060000","202109060000"
"tt10037014","Fear of Rain","Lionsgate",1334928712257564672,"1334928712257564672","Fear of Rain","FearOfRain",TRUE,"#FearofRain",2021-02-12,"202102120000","202101130000"
"tt10042868","Generation Wrecks","Futuregraph Entertainment",NA,NA,NA,NA,NA,"#GenerationWrecks",2021-09-12,"202109120000","202108130000"
"tt10095582","The Tragedy of Macbeth","Apple TV+ / A24 / IAC Films",546076148,"546076148","A24","A24",TRUE,"#TheTragedyofMacbeth",2022-01-14,"202201140000","202112150000"
"tt10096842","False Positive","A24 / Hulu",NA,NA,NA,NA,NA,"#FalsePositive",2021-06-25,"202106250000","202105260000"
"tt10101702","My Little Pony: A New Generation","Netflix / Entertainment One / Boulder Media",NA,NA,NA,NA,NA,"#MyLittlePony:ANewGeneration",2021-09-24,"202109240000","202108250000"
"tt10121392","Thunder Force","Netflix",3319372179,"3319372179","Ben Falcone","benfalcone",TRUE,"#ThunderForce",2021-04-09,"202104090000","202103100000"
"tt10160896","DOMINO: Battle of the Bones","Dow Jazz Films",NA,NA,NA,NA,NA,"#DOMINO:BattleoftheBones",2021-06-11,"202106110000","202105120000"
"tt10195452","American Skin","Vertical Entertainment",NA,NA,NA,NA,NA,"#AmericanSkin",2021-01-15,"202101150000","202012160000"
"tt10207710","The Gateway","Lionsgate",1413519296949473280,"1413519296949473281","The Gateway","TheGatewayFilm",TRUE,"#TheGateway",2021-09-03,"202109030000","202108040000"
"tt10225926","616 Wilford Lane","Indican Pictures",NA,NA,NA,NA,NA,"#616WilfordLane",2021-05-18,"202105180000","202104180000"
"tt10228134","Jolt","Amazon Studios / Millennium Media",1009613967831044096,"1009613967831044096","jolt","joltbtw",TRUE,"#Jolt",2021-07-23,"202107230000","202106230000"
"tt10230994","Beckett","Netflix / Rai Cinema",20505035,"20505035","Leeds Beckett","leedsbeckett",TRUE,"#Beckett",2021-08-13,"202108130000","202107140000"
"tt10265034","Land","Focus Features / Big Beach",1185301989971742720,"1185301989971742721","Land","LandTheFilm",TRUE,"#Land",2021-02-12,"202102120000","202101130000"
"tt10279362","French Exit","Sony Pictures Classics",NA,NA,NA,NA,NA,"#FrenchExit",2021-02-12,"202102120000","202101130000"
