"movie_names","production_company","movie_imdb_id","id","id_str","name","screen_name","verified"
"8-Bit Christmas","HBO Max / Warner Bros. Pictures / New Line Cinema","tt11540284",1498894436,"1498894436","Cyrus Arnold","cyrusarnold",TRUE
"A Journal for Jordan","Columbia Pictures / Escape Artists / Bron Studios","tt0995854",1273735161939558400,"1273735161939558400","A Journal for Jordan","AJournal4Jordan",TRUE
"A Quiet Place Part II","Paramount Pictures / Platinum Dunes / Sunday Night Productions","tt8332922",879477271735574528,"879477271735574529","A Quiet Place Part II","quietplacemovie",TRUE
"After We Fell","Voltage Pictures","tt13069986",930229570820890624,"930229570820890626","After We Fell Movie","aftermovie",TRUE
"America: The Motion Picture","Netflix / Floyd County Productions","tt6733874",289072583,"289072583","Motion Picture Association","motionpictures",TRUE
"American Underdog","Lionsgate","tt11729298",1352366622405615616,"1352366622405615619","American Underdog","AmericanUnderdg",TRUE
"Antlers","Searchlight Pictures / TSG Entertainment","tt7740510",1045773502320537600,"1045773502320537600","Antlers","AntlersMovie",TRUE
"Apex","RLJE Films","tt13265876",1048018930785083392,"1048018930785083392","Apex Legends","PlayApex",TRUE
"Awake","Netflix / Entertainment One","tt10418662",877775540530196480,"877775540530196481","Awake","awakeskin_jp",TRUE
"Bad Trip","Netflix / Orion Pictures","tt9684220",1050179784850829312,"1050179784850829312","Bad Trip","BadTripTheMovie",TRUE
"Beckett","Netflix / Rai Cinema","tt10230994",20505035,"20505035","Leeds Beckett","leedsbeckett",TRUE
"Billie Eilish: The World's a Little Blurry","Neon / Apple TV+","tt11459366",16892452,"16892452","rj cutler","rjcutler",TRUE
"Black Friday","Screen Media Films","tt11649338",24771895,"24771895","Black Friday","blackfridayinfo",TRUE
"Black Widow","Marvel Studios / Disney+","tt3480822",1110257199299870720,"1110257199299870722","Black Widow","theblackwidow",TRUE
"Bliss","Amazon Studios","tt10333426",246570057,"246570057","Bliss","BlissByGlam",TRUE
"Blue Bayou","Focus Features / Entertainment One","tt3480822",1277631949998379008,"1277631949998379009","Blue Bayou","BlueBayouFilm",TRUE
"Boogie","Focus Features","tt10896398",1163851032922714112,"1163851032922714114","Boogie","boogiemovie",TRUE
"Broken Diamonds","FilmRise / Black Label Media","tt6484398",250486410,"250486410","FilmRise TV and Movies","filmrisetv",TRUE
