,movie_ids.movie.,youtubeContent.items.snippet.publishedAt,viewCount,likeCount,commentCount
1,tt0499097,2021-04-06T13:59:49Z,16096288.5,25855.5,2937
2,tt0993840,2021-04-13T15:26:49Z,7900369.5,112977.5,11184.5
3,tt10011320,2021-05-17T15:13:21Z,27601.5,282,155
4,tt10016180,2020-12-22T14:00:00Z,15787006,50153,4654
5,tt10037014,2021-02-01T21:02:24Z,451234,3083.666667,170
6,tt10095582,2022-01-06T18:59:47Z,766046.25,11732,720.5
7,tt10096842,2021-05-26T16:14:31Z,558497.6667,4428.333333,242.6666667
8,tt10101702,2021-08-12T13:00:01Z,1303972,32369,0
9,tt10121392,2021-03-30T02:41:50Z,1326753.25,15010.5,1185.25
10,tt10207710,2021-07-28T16:26:04Z,968123.3333,7536,321.3333333
11,tt10225926,2021-05-15T19:20:34Z,104973.25,680.5,70.25
12,tt10228134,2021-06-29T19:29:46Z,2566061,24160,1163.5
13,tt10230994,2021-07-01T15:15:03Z,876581.3333,11424,948.6666667
14,tt10265034,2020-12-21T20:11:09Z,2057553.5,6498.5,541
15,tt10293406,2021-11-04T15:00:00Z,1699439.667,16461.66667,1330.333333
16,tt10327252,2021-07-01T07:57:40Z,3290521.333,40102,4855
17,tt10333426,2020-04-26T08:27:45Z,1495963.5,24370.5,514
18,tt10339052,2021-08-19T17:21:23Z,522834,5436,315
19,tt10342730,2021-04-30T16:00:14Z,4568870,62801.8,3194.4
20,tt10366460,2021-06-24T14:59:54Z,NA,NA,NA
21,tt10388028,2021-06-24T13:22:01Z,99716,546.2,59.6
22,tt10418662,2021-05-05T18:00:01Z,3396625,47862,4315
23,tt10430850,2021-07-16T09:58:28Z,125206,682,75.5
24,tt10451852,2020-10-12T17:29:05Z,485921,4557.5,261
25,tt10451914,2021-01-06T16:00:03Z,2898598.667,36584.66667,1778
26,tt10515988,2021-10-06T22:49:03Z,425198.3333,4310,518
27,tt10521144,2021-08-19T18:00:00Z,1428514,23498,707.5
28,tt10533804,2021-05-19T14:30:36Z,182499.3333,1808.666667,159.3333333
29,tt10661710,2020-11-20T19:54:32Z,1144851,9408,585
30,tt10676012,2021-01-13T15:08:17Z,3567652,125709,4956.5
31,tt10687506,2021-11-04T10:04:42Z,636471.75,2481,137.25
32,tt10696784,2021-09-28T13:00:00Z,2192518,39846,4594.333333
33,tt10696896,2021-07-16T14:48:57Z,2276119.75,3804,453.5
34,tt10702148,2021-05-11T07:15:01Z,40179,334,30
35,tt10719958,2021-05-28T08:34:30Z,131428,777,105
36,tt10731768,2021-07-09T13:12:28Z,3159754,48169,2070.5
37,tt10741846,2021-04-22T14:03:21Z,116247,433.5,37
38,tt10752004,2021-10-20T13:37:59Z,3462090.5,82809,2437.5
39,tt10763820,2021-10-06T15:19:09Z,804312,14606.33333,695.3333333
40,tt10793644,2021-02-10T17:06:38Z,781535.6667,1474.333333,125.6666667
41,tt10837932,2021-05-14T00:13:55Z,5420,40.33333333,2
42,tt10872600,2021-11-17T07:49:19Z,39994846,1510209.75,91820.25
43,tt10896398,2021-01-19T17:18:47Z,1415601,31811.5,1842
44,tt10954652,2021-05-27T15:08:35Z,232847541.5,2590483,54465
45,tt10962368,2021-04-01T15:04:23Z,1170875.667,12425.66667,694
46,tt11003218,2021-06-17T21:30:00Z,945069,15498,1802
47,tt11012066,2021-10-12T14:13:50Z,10905810,83846.33333,9742.666667
48,tt11080108,2021-01-28T09:01:25Z,2781163,10074,530
49,tt11083552,2021-03-29T15:15:22Z,18582308.5,91654.5,3696
50,tt11092594,2021-08-30T16:59:48Z,30531.66667,599.6666667,62.66666667
51,tt11111286,2021-04-19T20:07:39Z,17030,39,2
52,tt11196036,2021-07-27T15:21:47Z,2076470,3739.5,488
53,tt11214590,2021-11-10T13:45:50Z,6247141.25,44510.5,2710.25
54,tt11233960,2021-10-26T14:44:54Z,2915697.333,35146.33333,2357
55,tt11235772,2021-09-01T13:03:10Z,1218207.4,6948.2,472.8
