,movie_ids.id.,viewCount,likeCount,commentCount
1,tt0499097,16096288.5,25855.5,2937
2,tt0993840,7900369.5,112977.5,11184.5
3,tt10011320,27601.5,282,155
4,tt10016180,15787006,50153,4654
5,tt10037014,451234,3083.666667,170
6,tt10095582,766046.25,11732,720.5
7,tt10096842,558497.6667,4428.333333,242.6666667
8,tt10101702,1303972,32369,0
9,tt10121392,1326753.25,15010.5,1185.25
10,tt10207710,968123.3333,7536,321.3333333
11,tt10225926,104973.25,680.5,70.25
12,tt10228134,2566061,24160,1163.5
13,tt10230994,876581.3333,11424,948.6666667
14,tt10265034,2057553.5,6498.5,541
15,tt10293406,1699439.667,16461.66667,1330.333333
16,tt10327252,3290521.333,40102,4855
17,tt10333426,1495963.5,24370.5,514
18,tt10339052,522834,5436,315
19,tt10342730,4568870,62801.8,3194.4
20,tt10388028,99716,546.2,59.6
21,tt10418662,3396625,47862,4315
22,tt10430850,125206,682,75.5
23,tt10451852,485921,4557.5,261
24,tt10451914,2898598.667,36584.66667,1778
25,tt10515988,425198.3333,4310,518
26,tt10521144,1428514,23498,707.5
27,tt10533804,182499.3333,1808.666667,159.3333333
28,tt10661710,1144851,9408,585
29,tt10676012,3567652,125709,4956.5
30,tt10687506,636471.75,2481,137.25
31,tt10696784,2192518,39846,4594.333333
32,tt10696896,2276119.75,3804,453.5
33,tt10702148,40179,334,30
34,tt10719958,131428,777,105
35,tt10731768,3159754,48169,2070.5
36,tt10741846,116247,433.5,37
37,tt10752004,3462090.5,82809,2437.5
38,tt10763820,804312,14606.33333,695.3333333
39,tt10793644,781535.6667,1474.333333,125.6666667
40,tt10837932,5420,40.33333333,2
41,tt10872600,39994846,1510209.75,91820.25
42,tt10896398,1415601,31811.5,1842
43,tt10954652,232847541.5,2590483,54465
44,tt10962368,1170875.667,12425.66667,694
45,tt11003218,945069,15498,1802
46,tt11012066,10905810,83846.33333,9742.666667
47,tt11080108,2781163,10074,530
48,tt11083552,18582308.5,91654.5,3696
49,tt11092594,30531.66667,599.6666667,62.66666667
50,tt11111286,17030,39,2
51,tt11196036,2076470,3739.5,488
52,tt11214590,6247141.25,44510.5,2710.25
53,tt11233960,2915697.333,35146.33333,2357
54,tt11235772,1218207.4,6948.2,472.8
55,tt11263022,4259639.5,40697.5,2187
56,tt11268742,138518,2146,104
57,tt11271038,2678609.667,13184.33333,1242.333333
58,tt11284502,2353824.667,31107,486.3333333
59,tt11286314,10127741.67,176818.3333,11992
60,tt11307724,62577.8,381.8,69.6
61,tt11317142,489369.5,3974,163
62,tt11383348,5468637,71358,746
63,tt11422728,2203872.667,3274.666667,191.3333333
64,tt11433048,254815.3333,1519.666667,126.3333333
65,tt11459366,25742,649,69
66,tt11525644,1710018,3891.4,323.2
67,tt11540284,255759,2792.666667,249.3333333
68,tt1160419,18586294.75,288050.75,27725.25
69,tt11656220,226282,1377,165.25
70,tt11657662,1774695,62574,3783
71,tt11729298,402712.2,3969.6,486.6
