movie_ids.id.,video_ids.id.,viewCount,likeCount,favoriteCount,commentCount
tt9691136,d041Wa7LJfs,1952762,14624,0,2810
tt6571548,oM-Nw9XzqVM,2621254,58457,0,3092
tt6571548,35jJNyFuYKQ,4090044,70655,0,3522
tt13061914,mepeWor5JPk,7816473,8920,0,790
tt13061914,ecF50t2FHSA,283915,2281,0,180
tt13061914,btY3Lndc3_w,17911,17,0,5
tt13061914,CDQH0t6JiS4,2778690,38681,0,1291
tt3661210,JZQz0rkNajo,2354093,18435,0,1354
tt3661210,vlYkCIU202o,1070557,12914,0,430
tt10451914,u8ZsUivELbs,3599414,45934,0,2054
tt9691136,d041Wa7LJfs,1952764,14624,0,2810
tt6571548,oM-Nw9XzqVM,2621257,58457,0,3092
tt6571548,35jJNyFuYKQ,4090050,70655,0,3522
tt13061914,mepeWor5JPk,7816473,8920,0,790
tt13061914,ecF50t2FHSA,283915,2281,0,180
tt13061914,btY3Lndc3_w,17912,17,0,5
tt13061914,CDQH0t6JiS4,2778690,38681,0,1291
tt3661210,JZQz0rkNajo,2354094,18435,0,1354
tt3661210,vlYkCIU202o,1070557,12914,0,430
tt10451914,u8ZsUivELbs,3599418,45934,0,2054
tt10451914,iwYhA5YvdNc,1496964,17886,0,1226
tt6902332,lEBPNi4bEbc,4083592,22998,0,1778
tt6902332,GGut5VHeQEA,636325,3936,0,262
tt11268742,Zi6jogV6pLg,126232,1558,0,123
tt11268742,u2_S8ZLSD7g,150804,2734,0,85
tt8046498,K_psaWMw7wE,754733,7947,0,673
tt9608818,jvOX0J1Nwrw,923697,7417,0,294
tt9608818,Dw0vsihPcSU,99534,1473,0,11
tt9608818,DllUzIueITg,872841,14023,0,427
tt10661710,JHEU8myNazc,1144851,9408,0,585
tt9110170,lZSHoyjd8Oc,617089,5272,0,457
tt9110170,ccaNMcPqpQ0,7898740,96497,0,8088
tt6317656,3D0PlwGIyW0,397464,3700,0,385
tt6317656,q7eZEZHRrVg,562761,2686,0,306
tt6317656,CdpAKDi5KYU,29814,461,0,42
tt10016180,1HZAnkxdYuA,15787006,50153,0,4654
tt12676326,CGZmwsK58M8,4723038,124055,0,6108
tt12676326,7EfjneMZR5w,703743,13070,0,1301
tt12676326,DEcgPECb_js,54101,834,0,67
tt6857376,WgOlH7QqmSk,169945,1945,0,133
tt6857376,Iu0wX2xwDf0,798040,6537,0,248
tt6857376,6vQmIarcX94,1803238,7152,0,0
tt10333426,4cYsTrQQepo,2863891,44092,0,679
tt10333426,wVxwHalZgKE,128036,4649,0,349
tt9735470,lf5lYxE0c5c,40437694,64429,0,0
tt9735470,knPhaXYG4YA,425234,2462,0,202
tt9735470,dg0cQtVisLw,152861695,184631,0,0
tt2235372,9yesrYPzNnM,36381,500,0,42
tt2235372,c1w1ORu8Vmg,288873,4034,0,462
tt8110004,NTtUjKAGHqU,79869,452,0,38
tt8110004,40deUdulzAw,13391,32,0,1
tt4761112,sRSGg54yvjQ,3181480,36500,0,2135
tt4761112,7tmxxzZXLEM,6239837,6548,0,802
tt4761112,IH-h3h22Hck,694300,18155,0,1789
tt4761112,5WJSjln30BQ,300094,2943,0,178
tt7737640,0R_8pclwIqg,274993,1948,0,161
tt7737640,bfezS0sH8G8,843746,7368,0,349
tt7737640,nlrHaz8nVB4,99530,1119,0,46
tt3797512,yvmDgXfYPbA,599089,3335,0,539
tt3797512,ErO7VPKw-mI,498190,4119,0,165
tt10676012,2jPdejek5QA,5542400,216109,0,8450
tt10676012,Uj5jfBuMLGU,1592904,35309,0,1463
tt9738716,RhQu4tcHLeU,1591988,8660,0,938
tt10265034,sOw20FDNnHA,3611692,8163,0,794
tt10265034,_jR4f2_QVEU,503415,4834,0,288
tt8114980,0v27rfaoB2Y,2364292,40779,0,5487
tt11080108,ZOxsfKQWrUg,5466791,18756,0,980
tt11080108,ux_Mtg3BEW0,95535,1392,0,80
tt10037014,jFxOxLLzjG8,909671,4300,0,347
tt10037014,BUwd5M48vHc,418105,4890,0,157
tt10037014,J696fsocmaI,25926,61,0,6
tt9893250,D40uHmTSPew,3651293,49608,0,4402
tt9893250,lXrnUzP5Su0,1107216,10532,0,1308
tt9893250,oDsmrPySOh0,104152,504,0,85
tt8521736,05F8MmsiLQs,719650,7702,0,931
tt8521736,AkpsRCN-bSE,225346,2444,0,344
tt8521736,BP38lmpZk-A,78143,1292,0,79
tt8521736,oZvNVUsq0IM,8719,144,0,21
tt7937254,GpMP6Nh3FvU,8833780,262852,0,21441
tt8521718,USi-ppCfxEA,824620,10729,0,849
