movie_names,production_company,movie_imdb_id
Shadow in the Cloud,Vertical Entertainment,tt9691136
The White Tiger,Netflix,tt6571548
Locked Down,HBO Max / Warner Bros. Pictures,tt13061914
The Dig,Netflix / Clerkenwell Films,tt3661210
Outside the Wire,Netflix,tt10451914
The Marksman,Open Road Films,tt6902332
The Ultimate Playlist of Noise,Hulu,tt11268742
American Skin,Vertical Entertainment,tt10195452
Don't Tell a Soul,Lionsgate / Saban Films,tt8046498
Our Friend,Gravitas Ventures / Black Bear Pictures,tt9608818
No Man's Land,IFC Films,tt0119164
Born a Champion,Lionsgate,tt10661710
Wrong Turn,Saban Films / Constantin Film,tt9110170
Penguin Bloom,Netflix / Roadshow Films,tt6317656
The Little Things,Warner Bros. Pictures / Gran Via Productions / HBO Max,tt10016180
Finding <U+02BB>Ohana,Netflix,tt10332588
Nomadland,Searchlight Pictures / Hulu,tt9770150
Malcolm & Marie,Netflix,tt12676326
Palmer,Apple TV+,tt6857376
Falling,Quiver Distribution,tt9143112
Bliss,Amazon Studios,tt10333426
Little Fish,IFC Films / Black Bear Pictures,tt9735470
Son of the South,Vertical Entertainment,tt2235372
PVT Chat,Dark Star Pictures,tt8110004
Music,Vertical Entertainment,tt7541720
Judas and the Black Messiah,Warner Bros. Pictures / Participant / Bron Creative / HBO Max,tt9784798
The Mauritanian,STXfilms / Topic Studios / BBC Film,tt4761112
Breaking News in Yuba County,American International Pictures / AGC Studios / Nine Stories Productions,tt7737640
Barb and Star Go to Vista Del Mar,Lionsgate / Gloria Sanchez Productions,tt3797512
Minari,A24 / Plan B Entertainment,tt10633456
To All the Boys: Always and Forever,Netflix,tt10676012
The World to Come,Bleecker Street / Ingenious Media,tt9738716
French Exit,Sony Pictures Classics,tt10279362
Land,Focus Features / Big Beach,tt10265034
Willy's Wonderland,Screen Media Films,tt8114980
The Map of Tiny Perfect Things,Amazon Studios,tt11080108
Fear of Rain,Lionsgate,tt10037014
I Care a Lot,Netflix / Amazon Studios / STXfilms / Black Bear Pictures,tt9893250
Flora & Ulysses,Disney+ / Walt Disney Pictures,tt8521736
Silk Road,Lionsgate,tt7937254
Tom & Jerry,Warner Bros. Pictures / Warner Animation Group / HBO Max,tt1361336
The United States vs. Billie Holiday,Hulu / Roth/Kirschenbaum Films,tt8521718
Cherry,Apple TV+ / AGBO,tt9130508
Crisis,Quiver Distribution,tt9731682
Billie Eilish: The World's a Little Blurry,Neon / Apple TV+,tt11459366
The Vigil,IFC Midnight / Blumhouse Productions,tt10793644
Moxie,Netflix,tt6432466
Coming 2 America,Amazon Studios / Paramount Pictures,tt6802400
The SpongeBob Movie: Sponge on the Run,Paramount+ / Paramount Animation / Nickelodeon Movies / MRC,tt4823776
Raya and the Last Dragon,Walt Disney Pictures / Walt Disney Animation Studios / Disney+,tt5109280
Chaos Walking,Lionsgate / Bron Creative / 3 Arts Entertainment,tt2076822
Boss Level,Hulu / Ingenious Media,tt7638348
Boogie,Focus Features,tt10896398
Yes Day,Netflix,tt8521876
Long Weekend,Stage 6 Films,tt11020728
Cosmic Sin,Saban Films,tt11762434
Trust,Vertical Entertainment,tt3986420
Zack Snyder's Justice League,HBO Max / Warner Bros. Pictures / DC Films / Atlas Entertainment / The Stone Quarry,tt12361974
The Courier,Roadside Attractions / FilmNation Entertainment,tt8368512
City of Lies,Saban Films / Miramax,tt2677722
Happily,Saban Films,tt9849004
Nobody,Universal Pictures / Perfect World Pictures / 87North Productions,tt7888964
Bad Trip,Netflix / Orion Pictures,tt9684220
The Seventh Day,Vertical Entertainment / Voltage Pictures,tt11263022
Senior Moment,Screen Media Films,tt6588950
Godzilla vs. Kong,Warner Bros. Pictures / Legendary Entertainment / HBO Max,tt5034838
Concrete Cowboy,Netflix,tt8846176
The Unholy,Screen Gems / Ghost House Pictures,tt9419056
Every Breath You Take,Vertical Entertainment,tt2231874
Shiva Baby,Utopia,tt11317142
The Girl Who Believes in Miracles,Atlas Distribution Company,tt9098454
The Believer,Freestyle Releasing,tt0247199
Dawn of the Beast,Uncork'd Entertainment,tt13430932
Voyagers,Lionsgate / AGC Studios / Thunder Road Films / Ingenious Media,tt9664108
Thunder Force,Netflix,tt10121392
Arlo the Alligator Boy,"Netflix / Netflix Animation / Titmouse, Inc.",tt13454122
Monday,IFC Films,tt8884906
In the Earth,Neon,tt13429362
Stowaway,Netflix / XYZ Films,tt9203694
Mortal Kombat,Warner Bros. Pictures / New Line Cinema / Atomic Monster Productions / HBO Max,tt0293429
The Mitchells vs. the Machines,Netflix / Columbia Pictures / Sony Pictures Animation,tt7979580
Vanquish,Lionsgate,tt5932368
Together Together,Bleecker Street,tt11285280
We Broke Up,Vertical Entertainment,tt11867884
The Deep Ones,123 Go Films,tt11548850
Things Heard & Seen,Netflix / Likely Story,tt10962368
Without Remorse,Amazon Studios / Paramount Pictures / Skydance Media,tt0499097
The Virtuoso,Lionsgate,tt4136456
Four Good Days,Vertical Entertainment,tt10344522
Separation,Open Road Films / Briarcliff Entertainment,tt9173154
The Resort,Vertical Entertainment,tt12163074
Wrath of Man,Metro-Goldwyn-Mayer / Miramax,tt11083552
Monster,Netflix / Bron Creative,tt0340855
The Paper Tigers,Well Go USA Entertainment,tt6060444
Mainstream,IFC Films / American Zoetrope,tt9224288
The Water Man,RLJE Films,tt4779326
Here Today,Stage 6 Films,tt10944596
Above Suspicion,Lionsgate,tt5688068
Reboot Camp,Freestyle Releasing,tt11111286
Benny Loves You,Epic Pictures Group,tt3917506
Oxygen,Netflix,tt6341832
Army of the Dead,Netflix / The Stone Quarry,tt0993840
Those Who Wish Me Dead,Warner Bros. Pictures / New Line Cinema / Bron Creative / HBO Max,tt3215824
The Woman in the Window,Netflix / 20th Century Studios / Fox 2000 Pictures,tt6111574
Spiral,Lionsgate / Twisted Pictures,tt10342730
Georgetown,Vertical Entertainment,tt4669252
Finding You,Roadside Attractions,tt8760280
The Killing of Two Lovers,Neon,tt10702148
616 Wilford Lane,Indican Pictures,tt10225926
Dream Horse,Bleecker Street / Topic Studios / Film4 / Ingenious Media,tt9883996
Blast Beat,Stage 6 Films / Vertical Entertainment,tt10767066
A Quiet Place Part II,Paramount Pictures / Platinum Dunes / Sunday Night Productions,tt8332922
Cruella,Walt Disney Pictures / Disney+,tt3228774
Plan B,Hulu,tt13172796
Changing the Game,Hulu,tt10011320
Spirit Untamed,Universal Pictures / DreamWorks Animation,tt11084896
The Conjuring: The Devil Made Me Do It,Warner Bros. Pictures / New Line Cinema / HBO Max,tt7069210
Flashback,Lionsgate,tt8372094
Under the Stadium Lights,Film Bridge International / Saban Films,tt6384920
Grace and Grit,Quiver Distribution,tt3910630
Awake,Netflix / Entertainment One,tt10418662
In the Heights,Warner Bros. Pictures / Likely Story / Endeavor Content / HBO Max,tt1321510
Infinite,Paramount+ / Paramount Pictures,tt6654210
Peter Rabbit 2: The Runaway,Columbia Pictures / MRC / Animal Logic,tt8376234
Wish Dragon,Netflix / Columbia Pictures / Sony Pictures Animation / Tencent Pictures,tt5562070
The Misfits,The Avenue Entertainment,tt4876134
12 Mighty Orphans,Sony Pictures Classics,tt8482584
The House Next Door: Meet the Blacks 2,Lionsgate,tt7524444
Queen Bees,Gravitas Ventures,tt8338076
DOMINO: Battle of the Bones,Dow Jazz Films,tt10160896
Hitman's Wife's Bodyguard,Lionsgate / Summit Entertainment / Millennium Media,tt8385148
Luca,Disney+ / Walt Disney Pictures / Pixar Animation Studios,tt12801262
Fatherhood,Netflix / Columbia Pictures / Bron Creative,tt4733624
The Birthday Cake,Screen Media Films,tt10719958
Rita Moreno: Just a Girl Who Decided to Go for It,Roadside Attractions,tt10741846
The Sparks Brothers,Focus Features / MRC,tt8610436
Truman & Tennessee: An Intimate Conversation,Fischio Films / Peaceable Assembly,tt13016030
Stalker,Vertical Entertainment,tt0079944
Love Spreads,Dignity Film Finance / Film Shed,tt11777510
A Crime on the Bayou,Shout! Studios,tt10837932
Good on Paper,Netflix / Universal Pictures,tt8231668
F9,Universal Pictures / Original Film / One Race Films / Roth/Kirschenbaum Films,tt5433138
The Ice Road,Netflix,tt3758814
Werewolves Within,IFC Films / Ubisoft Film & Television,tt9288692
False Positive,A24 / Hulu,tt10096842
Lansky,Vertical Entertainment,tt5078852
I Carry You with Me,Sony Pictures Classics / Stage 6 Films,tt11388990
Mary J. Blige's My Life,Amazon Studios,tt11383348
Fathom,Apple TV+,tt3741700
Rollers,Level 33 Entertainment,tt9124868
America: The Motion Picture,Netflix / Floyd County Productions,tt6733874
Zola,A24,tt5439812
No Sudden Move,HBO Max / Warner Bros. Pictures,tt11525644
The Tomorrow War,Amazon Studios / Skydance Media / Paramount Pictures,tt9777666
The Boss Baby: Family Business,Universal Pictures / DreamWorks Animation / Peacock,tt6932874
The Forever Purge,Universal Pictures / Platinum Dunes / Blumhouse Productions,tt10327252
Fear Street Part One: 1994,Netflix / Chernin Entertainment,tt6566576
Summer of Soul,Searchlight Pictures / Hulu,tt11422728
Till Death,Screen Media Films / Millennium Films,tt11804152
Let Us In,Samuel Goldwyn Films,tt10533804
Black Widow,Marvel Studios / Disney+,tt3480822
Fear Street Part Two: 1978,Netflix / Chernin Entertainment,tt9701940
Summertime,Good Deed Entertainment,tt4080768
Gunpowder Milkshake,Netflix / StudioCanal / STXfilms / The Picture Company,tt8368408
Space Jam: A New Legacy,Warner Bros. Pictures / Warner Animation Group / HBO Max,tt3554046
Escape Room: Tournament of Champions,Columbia Pictures / Original Film,tt9844522
Fear Street Part Three: 1666,Netflix / Chernin Entertainment,tt9701942
Die in a Gunfight,Lionsgate,tt1697800
Pig,Neon / Endeavour Content,tt11003218
Out of Death,Vertical Entertainment,tt12528166
Roadrunner: A Film About Anthony Bourdain,Focus Features,tt14512538
How It Ends,American International Pictures,tt5246700
Trollhunters: Rise of the Titans,Netflix / DreamWorks Animation,tt12851396
Snake Eyes,Paramount Pictures / Metro-Goldwyn-Mayer / Skydance Media / Entertainment One,tt8404256
Old,Universal Pictures / Perfect World Pictures / Blinding Edge Pictures,tt10954652
Joe Bell,Roadside Attractions / Nine Stories Productions,tt4651466
Jolt,Amazon Studios / Millennium Media,tt10228134
Midnight in the Switchgrass,Lionsgate,tt11656220
Broken Diamonds,FilmRise / Black Label Media,tt6484398
Val,Amazon Studios / A24,tt14731254
Ailey,Neon,tt13622084
Jungle Cruise,Walt Disney Pictures / Davis Entertainment / Seven Bucks Productions / Disney+,tt0870154
Vivo,Netflix / Columbia Pictures / Sony Pictures Animation,tt6338498
Stillwater,Focus Features / DreamWorks Pictures / Participant,tt10696896
The Green Knight,A24 / Bron Creative,tt9243804
Nine Days,Sony Pictures Classics,tt10451852
